"Year"	"BorX"	"BorY"	"Species"	"Cover"
"2015"	0	360	"asac"	1
"2015"	0	360	"ruid"	1
"2015"	0	360	"violasp"	1
"2015"	0	380	"vial"	3
"2015"	0	380	"drsp"	3
"2015"	0	380	"lylu"	1
"2015"	0	380	"stro"	3
"2015"	0	380	"trer"	2
"2015"	0	380	"oxmo"	1
"2015"	0	380	"soam"	1
"2015"	0	400	"vial"	3
"2015"	0	400	"drsp"	2
"2015"	0	400	"lylu"	2
"2015"	0	400	"stro"	3
"2015"	0	400	"trer"	1
"2015"	0	400	"oxmo"	1
"2015"	0	400	"asac"	1
"2015"	0	400	"clbo"	1
"2015"	0	400	"drph"	1
"2015"	0	400	"sapu"	1
"2015"	160	180	"popu"	1
"2015"	0	420	"vial"	5
"2015"	0	420	"drsp"	3
"2015"	0	420	"lylu"	3
"2015"	0	420	"stro"	2
"2015"	0	420	"trer"	1
"2015"	0	420	"clbo"	1
"2015"	0	420	"maca"	2
"2015"	0	420	"arnu"	1
"2015"	0	420	"oxmo"	1
"2015"	80	200	"mara"	1
"2015"	0	440	"vial"	4
"2015"	0	440	"drsp"	2
"2015"	0	440	"lylu"	2
"2015"	0	440	"stro"	2
"2015"	0	440	"trer"	1
"2015"	0	440	"clbo"	1
"2015"	0	440	"oxmo"	1
"2015"	160	220	"popu"	1
"2015"	0	440	"asac"	1
"2015"	0	440	"drno"	1
"2015"	0	460	"vial"	4
"2015"	0	460	"drsp"	3
"2015"	0	460	"lylu"	3
"2015"	0	460	"stro"	3
"2015"	0	460	"trer"	1
"2015"	0	460	"clbo"	1
"2015"	180	220	"popu"	1
"2015"	0	460	"oxmo"	1
"2015"	0	460	"violasp"	1
"2015"	0	480	"vial"	4
"2015"	0	480	"drsp"	3
"2015"	0	480	"oxmo"	2
"2015"	0	480	"stro"	2
"2015"	0	480	"maca"	1
"2015"	0	480	"lylu"	2
"2015"	0	480	"clbo"	1
"2015"	0	480	"arnu"	1
"2015"	0	500	"drsp"	2
"2015"	0	500	"oxmo"	1
"2015"	0	500	"stro"	2
"2015"	0	500	"maca"	2
"2015"	0	500	"lylu"	1
"2015"	0	500	"trer"	1
"2015"	0	500	"vial"	3
"2015"	0	500	"clbo"	2
"2015"	0	500	"drno"	2
"2015"	0	520	"drsp"	2
"2015"	0	520	"oxmo"	1
"2015"	0	520	"maca"	3
"2015"	0	520	"lylu"	2
"2015"	0	520	"trer"	1
"2015"	0	520	"vial"	4
"2015"	0	520	"clbo"	2
"2015"	0	520	"trbo"	1
"2015"	0	520	"arnu"	1
"2015"	0	520	"stro"	1
"2015"	0	520	"mevi"	1
"2015"	0	520	"soam"	1
"2015"	0	540	"drsp"	1
"2015"	0	540	"oxmo"	1
"2015"	0	540	"clbo"	2
"2015"	0	540	"maca"	2
"2015"	0	540	"lylu"	1
"2015"	0	540	"trer"	1
"2015"	0	540	"stro"	1
"2015"	0	540	"trbo"	1
"2015"	0	540	"soam"	1
"2015"	0	560	"drsp"	2
"2015"	0	560	"oxmo"	1
"2015"	0	560	"clbo"	1
"2015"	0	560	"maca"	1
"2015"	0	560	"lylu"	1
"2015"	0	560	"trer"	1
"2015"	0	560	"vial"	5
"2015"	0	560	"stro"	1
"2015"	0	560	"arnu"	2
"2015"	0	580	"drsp"	3
"2015"	0	580	"oxmo"	2
"2015"	0	580	"clbo"	3
"2015"	0	580	"maca"	4
"2015"	0	580	"lylu"	1
"2015"	0	580	"trer"	1
"2015"	0	580	"vial"	3
"2015"	0	580	"soam"	1
"2015"	0	580	"trbo"	1
"2015"	0	580	"asac"	1
"2015"	0	580	"stro"	1
"2015"	0	600	"drsp"	3
"2015"	0	600	"oxmo"	1
"2015"	0	600	"clbo"	2
"2015"	0	600	"maca"	2
"2015"	0	600	"lylu"	2
"2015"	0	600	"arnu"	2
"2015"	0	600	"vial"	3
"2015"	0	600	"trbo"	1
"2015"	0	600	"stro"	1
"2015"	0	620	"drsp"	2
"2015"	0	620	"oxmo"	1
"2015"	0	620	"clbo"	2
"2015"	0	620	"maca"	2
"2015"	0	620	"lylu"	1
"2015"	0	620	"arnu"	1
"2015"	0	620	"vial"	6
"2015"	0	620	"stro"	2
"2015"	0	620	"trer"	1
"2015"	0	620	"ruid"	1
"2015"	0	620	"violasp"	1
"2015"	0	620	"grass"	1
"2015"	0	640	"clbo"	3
"2015"	0	640	"maca"	1
